geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/09/20 - 03/15/20,84,1427,1
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/09/20 - 03/15/20,4090,69523,1
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/09/20 - 03/15/20,823,13989,1
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/09/20 - 03/15/20,433,7360,1
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/09/20 - 03/15/20,11393,193663,1
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/09/20 - 03/15/20,376,6391,1
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/09/20 - 03/15/20,14362,244132,1
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/09/20 - 03/15/20,64,1087,1
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/09/20 - 03/15/20,26435,449354,1
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/09/20 - 03/15/20,6881,116966,1
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/09/20 - 03/15/20,1436,24409,1
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/09/20 - 03/15/20,222,3773,1
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/09/20 - 03/15/20,3205128,54482298,1
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/09/20 - 03/15/20,634,10777,1
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/09/20 - 03/15/20,11248,191198,1
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/09/20 - 03/15/20,617,10488,1
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/09/20 - 03/15/20,222,3773,1
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/09/20 - 03/15/20,562,9553,1
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/09/20 - 03/15/20,3335,35555,1
